,OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
0,7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.561270,-95.217800
1,9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,44.028320,-90.387240
2,20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.947210,-112.717680
3,20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.947210,-112.717680
4,28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.379020,-94.421190
5,35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.890080,-75.064230
6,36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.760970,-78.631300
7,44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.804500,-97.616140
8,46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.375720,-85.849510
9,49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.882710,-85.818710
10,50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.232080,-95.849050
11,56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,46.808320,-100.289200
12,75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.490740,-107.876060
13,77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.550690,-75.556210
14,79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,39.684260,-75.587090
15,81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.530170,-82.508060
16,85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,39.764370,-105.593050
17,91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,33.554050,-82.893640
